MIRNA	GENE	INPUT
dme-miR-1	CREG	1
dme-miR-1	CG32278	1
dme-miR-1	CG12546	1
dme-miR-1	CG33340	1
dme-miR-1	CG7911	1
dme-miR-1	CG7011	1
dme-miR-1	CG7406	1
dme-miR-1	ana	1
dme-miR-1	Tyler	1
dme-miR-1	VhaAC39	1
dme-miR-1	CG10889	1
dme-miR-1	os	1
dme-miR-1	os	1
dme-miR-1	CG7627	1
dme-miR-1	Ir75c	1
dme-miR-1	Sdic3	1
dme-miR-1	Orc6	1
dme-miR-1	Orc6	1
dme-miR-1	CG5053	1
dme-miR-1	CG5053	1
dme-miR-1	CG5869	1
dme-miR-1	dpa	1
dme-miR-1	CG18213	1
dme-miR-1	CG4970	1
dme-miR-1	pkaap	1
dme-miR-1	CG5873	1
dme-miR-1	VhaSFD	1
dme-miR-1	repo	1
dme-miR-1	sinu	1
dme-miR-1	Chd64	1
dme-miR-1	vn	1
dme-miR-1	Trl	1
dme-miR-1	garz	1
dme-miR-1	maf-S	1
dme-miR-1	CG11226	1
dme-miR-1	CG14823	1
dme-miR-1	CG13133	1
dme-miR-1	Pomp	1
dme-miR-1	Nlp	1
dme-miR-1	CG5819	1
dme-miR-1	sec6	1
dme-miR-1	CG11112	1
dme-miR-1	CG15439	1
dme-miR-1	RhoGAP102A	1
dme-miR-1	CG17380	1
dme-miR-1	inx2	1
dme-miR-1	CG5091	1
dme-miR-1	FucTA	1
dme-miR-1	CG11396	1
dme-miR-1	CG17065	1
dme-miR-1	HLHmdelta	1
dme-miR-1	CG6038	1
dme-miR-1	CG10688	1
dme-miR-1	CG10508	1
dme-miR-1	CG8814	1
dme-miR-1	meso18E	1
dme-miR-1	CG6763	1
dme-miR-1	CG17264	1
dme-miR-1	Adh	1
dme-miR-1	CG9663	1
dme-miR-1	CG31427	1
dme-miR-2a	koko	1
dme-miR-2a	CG10326	1
dme-miR-2a	CG41265	1
dme-miR-2a	Dredd	1
dme-miR-2a	CG6461	1
dme-miR-2a	Shroom	1
dme-miR-2a	pgc	1
dme-miR-2a	CG3587	1
dme-miR-2a	Hcf	1
dme-miR-2a	CG1545	1
dme-miR-2a	hoe1	1
dme-miR-2a	CG11885	1
dme-miR-2a	mol	1
dme-miR-2a	CG1635	1
dme-miR-2a	CG3774	1
dme-miR-2a	CG8963	1
dme-miR-2a	Pif1A	1
dme-miR-2a	CG13624	1
dme-miR-2a	CG8083	1
dme-miR-2a	Nep4	1
dme-miR-2a	CG16815	1
dme-miR-2a	Hmgs	1
dme-miR-2a	Vha16	1
dme-miR-2a	CG3618	1
dme-miR-2a	slim	1
dme-miR-2a	CG13384	1
dme-miR-2a	Fak56D	1
dme-miR-2a	zip	1
dme-miR-2a	Pak3	1
dme-miR-2a	Dot	1
dme-miR-2a	fax	1
dme-miR-2a	SP555	1
dme-miR-2a	Ih	1
dme-miR-2a	CG9921	1
dme-miR-2a	CG9257	1
dme-miR-2a	CG2017	1
dme-miR-2a	cbt	1
dme-miR-2a	myoglianin	1
dme-miR-2a	Cyp4g1	1
dme-miR-2a	Galpha49B	1
dme-miR-2a	hts	1
dme-miR-2a	CG17698	1
dme-miR-2a	CG9130	1
dme-miR-2a	CG30497	1
dme-miR-2a	Taz	1
dme-miR-2a	CG16940	1
dme-miR-2a	Hr96	1
dme-miR-2a	CG15177	1
dme-miR-2a	Msr-110	1
dme-miR-2a	Ctr1B	1
dme-miR-2a	HLHm3	1
dme-miR-2a	CG32791	1
dme-miR-2a	CG32085	1
dme-miR-2a	CG3125	1
dme-miR-2a	CG5205	1
dme-miR-2a	Usp7	1
dme-miR-2a	CG7365	1
dme-miR-2a	Doa	1
dme-miR-2a	CG31202	1
dme-miR-2a	Hip1	1
dme-miR-2a	CG33649	1
dme-miR-2a	CG33649	1
dme-miR-2a	Ac13E	1
dme-miR-2a	Ac13E	1
dme-miR-2a	CG30472	1
dme-miR-2a	Vdup1	1
dme-miR-2a	Cyp12a5	1
dme-miR-2a	Sug	1
dme-miR-2a	CG4836	1
dme-miR-2a	CG32068	1
dme-miR-2a	kdn	1
dme-miR-2a	CG5746	1
dme-miR-2a	Rab11	1
dme-miR-2a	CG18542	1
dme-miR-2a	Rm62	1
dme-miR-2a	CG11103	1
dme-miR-2a	sdk	1
dme-miR-2a	Ptp4E	1
dme-miR-2a	CG2982	1
dme-miR-2a	CG12963	1
dme-miR-2a	CG8795	1
dme-miR-2a	CG18249	1
dme-miR-2a	CG9850	1
dme-miR-2a	Sema-1b	1
dme-miR-2a	CG11660	1
dme-miR-2a	ttk	1
dme-miR-2a	CG17260	1
dme-miR-2a	CG17260	1
dme-miR-2a	CG3967	1
dme-miR-2a	CG33298	1
dme-miR-2a	APC4	1
dme-miR-2a	Ir47a	1
dme-miR-2a	ase	1
dme-miR-2a	CG7837	1
dme-miR-2a	CG9384	1
dme-miR-2a	CG9384	1
dme-miR-2a	CG34289	1
dme-miR-2a	sr	1
dme-miR-2a	CG17124	1
dme-miR-2a	Dad	1
dme-miR-2a	CG15609	1
dme-miR-2a	CG42353	1
dme-miR-2a	CG11085	1
dme-miR-2a	mtt	1
dme-miR-2a	CG30015	1
dme-miR-2a	CG4880	1
dme-miR-2a	Btk29A	1
dme-miR-2a	nompA	1
dme-miR-2a	CG13025	1
